x1,y1,z1
0,0,0
-0.707107,-0.000000,0.707107
-0.700000,-0.000000,0.714142
-0.692824,-0.000000,0.721107
-0.685579,-0.000000,0.727999
-0.678264,-0.000000,0.734818
-0.670882,-0.000000,0.741564
-0.663433,-0.000000,0.748235
-0.655918,-0.000000,0.754832
-0.648337,-0.000000,0.761353
-0.640691,-0.000000,0.767799
-0.632981,-0.000000,0.774167
-0.625208,-0.000000,0.780458
-0.617372,-0.000000,0.786671
-0.609475,-0.000000,0.792805
-0.601517,-0.000000,0.798860
-0.593498,-0.000000,0.804835
-0.585420,-0.000000,0.810730
-0.577284,-0.000000,0.816544
-0.569090,-0.000000,0.822276
-0.560838,-0.000000,0.827925
-0.552531,-0.000000,0.833492
-0.544169,-0.000000,0.838976
-0.535752,-0.000000,0.844375
-0.527282,-0.000000,0.849691
-0.518759,-0.000000,0.854921
-0.510184,-0.000000,0.860066
-0.501558,-0.000000,0.865124
-0.492881,-0.000000,0.870097
-0.484156,-0.000000,0.874982
-0.475382,-0.000000,0.879779
-0.466561,-0.000000,0.884489
-0.457692,-0.000000,0.889111
-0.448779,-0.000000,0.893643
-0.439820,-0.000000,0.898086
-0.430817,-0.000000,0.902439
-0.421771,-0.000000,0.906702
-0.412683,-0.000000,0.910874
-0.403554,-0.000000,0.914956
-0.394385,-0.000000,0.918945
-0.385176,-0.000000,0.922843
-0.375928,-0.000000,0.926649
-0.366643,-0.000000,0.930362
-0.357321,-0.000000,0.933982
-0.347964,-0.000000,0.937508
-0.338571,-0.000000,0.940941
-0.329145,-0.000000,0.944279
-0.319686,-0.000000,0.947524
-0.310195,-0.000000,0.950673
-0.300673,-0.000000,0.953727
-0.291121,-0.000000,0.956686
-0.281540,-0.000000,0.959550
-0.271930,-0.000000,0.962317
-0.262294,-0.000000,0.964988
-0.252631,-0.000000,0.967563
-0.242943,-0.000000,0.970041
-0.233230,-0.000000,0.972422
-0.223494,-0.000000,0.974705
-0.213736,-0.000000,0.976891
-0.203957,-0.000000,0.978980
-0.194157,-0.000000,0.980970
-0.184338,-0.000000,0.982863
-0.174500,-0.000000,0.984657
-0.164645,-0.000000,0.986353
-0.154773,-0.000000,0.987950
-0.144886,-0.000000,0.989448
-0.134985,-0.000000,0.990848
-0.125070,-0.000000,0.992148
-0.115142,-0.000000,0.993349
-0.105203,-0.000000,0.994451
-0.095254,-0.000000,0.995453
-0.085294,-0.000000,0.996356
-0.075327,-0.000000,0.997159
-0.065352,-0.000000,0.997862
-0.055370,-0.000000,0.998466
-0.045383,-0.000000,0.998970
-0.035391,-0.000000,0.999374
-0.025395,-0.000000,0.999677
-0.015398,-0.000000,0.999881
-0.005398,-0.000000,0.999985
0.004602,0.000000,0.999989
0.014601,0.000000,0.999893
0.024599,0.000000,0.999697
0.034595,0.000000,0.999401
0.044587,0.000000,0.999006
0.054575,0.000000,0.998510
0.064557,0.000000,0.997914
0.074533,0.000000,0.997219
0.084501,0.000000,0.996423
0.094461,0.000000,0.995529
0.104411,0.000000,0.994534
0.114351,0.000000,0.993440
0.124280,0.000000,0.992247
0.134196,0.000000,0.990955
0.144098,0.000000,0.989563
0.153987,0.000000,0.988073
0.163860,0.000000,0.986484
0.173716,0.000000,0.984796
0.183555,0.000000,0.983009
0.193376,0.000000,0.981125
0.203177,0.000000,0.979142
0.212958,0.000000,0.977061
0.222718,0.000000,0.974883
0.232456,0.000000,0.972607
0.242170,0.000000,0.970234
0.251860,0.000000,0.967764
0.261525,0.000000,0.965197
0.271164,0.000000,0.962533
0.280775,0.000000,0.959774
0.290359,0.000000,0.956918
0.299913,0.000000,0.953966
0.309438,0.000000,0.950920
0.318931,0.000000,0.947778
0.328393,0.000000,0.944541
0.337822,0.000000,0.941210
0.347217,0.000000,0.937785
0.356577,0.000000,0.934266
0.365902,0.000000,0.930653
0.375190,0.000000,0.926948
0.384441,0.000000,0.923150
0.393653,0.000000,0.919259
0.402826,0.000000,0.915277
0.411958,0.000000,0.911203
0.421049,0.000000,0.907038
0.430098,0.000000,0.902782
0.439105,0.000000,0.898436
0.448067,0.000000,0.894000
0.456984,0.000000,0.889475
0.465856,0.000000,0.884861
0.474681,0.000000,0.880158
0.483459,0.000000,0.875367
0.492188,0.000000,0.870489
0.500868,0.000000,0.865523
0.509498,0.000000,0.860472
0.518078,0.000000,0.855334
0.526605,0.000000,0.850110
0.535079,0.000000,0.844802
0.543501,0.000000,0.839409
0.551867,0.000000,0.833932
0.560179,0.000000,0.828372
0.568435,0.000000,0.822728
0.576633,0.000000,0.817003
0.584774,0.000000,0.811196
0.592857,0.000000,0.805308
0.600880,0.000000,0.799339
0.608843,0.000000,0.793290
0.616746,0.000000,0.787162
0.624586,0.000000,0.780956
0.632365,0.000000,0.774671
0.640080,0.000000,0.768309
0.647731,0.000000,0.761870
0.655317,0.000000,0.755354
0.662837,0.000000,0.748763
0.670292,0.000000,0.742098
0.677679,0.000000,0.735358
0.684999,0.000000,0.728544
0.692250,0.000000,0.721658
0.699432,0.000000,0.714700
0.706543,0.000000,0.707670
-0.707005,-0.012020,0.707107
-0.699899,-0.011899,0.714142
-0.692724,-0.011777,0.721107
-0.685480,-0.011654,0.727999
-0.678166,-0.011530,0.734818
-0.670786,-0.011404,0.741564
-0.663338,-0.011278,0.748235
-0.655823,-0.011150,0.754832
-0.648243,-0.011021,0.761353
-0.640599,-0.010891,0.767799
-0.632890,-0.010760,0.774167
-0.625118,-0.010628,0.780458
-0.617283,-0.010495,0.786671
-0.609387,-0.010361,0.792805
-0.601430,-0.010225,0.798860
